,sheetcell,sheetformula,var_name
45,s!G12,=s!F12*0.9485,Bevoelkerung_Gross_Kelle__Personen
43,s!G20,=s!F20*0.9485,Bevoelkerung_Ludorf__Personen
44,s!G24,=s!F24*0.9485,Bevoelkerung_Roebel__Personen
46,s!G10,=s!F10*0.9485,Bevoelkerung_Gotthun__Personen
47,s!G22,=s!F22*0.9485,Bevoelkerung_Minzow__Personen
48,s!G14,=s!F14*0.9485,Bevoelkerung_Leizen__Personen
49,s!G7,=s!F7*0.9485,Bevoelkerung_Buetow__Personen
50,s!G8,=s!F8*0.9485,Bevoelkerung_Dambeck__Personen
60,s!G2,=s!F2*0.9485,Bevoelkerung_Bollewick__Personen
94,s!D32,=SUM(s!D2:D31),Einwohner_aus_Quelle__Personen
59,s!O35,=s!Q32/s!I32,Flaeche_pro_Wohngebaeude__m2
76,s!O36,=s!O35^0.5,Grundstueckslaenge__m
124,s!I35,=s!D32/s!I32,Bewohner_pro_Wohngebaeude
127,u!B4,=s!O34,mittlere_Zweiglaenge__Unterverteilung_erdverlegt__m
4,u!K23,=(50+20)*2*PI()*u!B12*u!C16/LN(1+u!B11*2/u!F23)/1000,Leistungsverlust_Vor_u__Ruecklauf_Zweigabschnitt_1_bei_Normleistung__kW
5,u!K24,=(50+20)*2*PI()*u!B12*u!C16/LN(1+u!B11*2/u!F24)/1000,Leistungsverlust_Vor_u__Ruecklauf_Zweigabschnitt_2_bei_Normleistung__kW
6,h!P21,=(50+20)*2*PI()*h!G16*h!E21/LN(1+h!D16*2/h!H21)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_1__kW
7,h!P22,=(50+20)*2*PI()*h!G16*h!E22/LN(1+h!D16*2/h!H22)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_2__kW
8,h!P23,=(50+20)*2*PI()*h!G16*h!E23/LN(1+h!D16*2/h!H23)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_3__kW
9,h!P24,=(50+20)*2*PI()*h!G16*h!E24/LN(1+h!D16*2/h!H24)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_4__kW
10,h!P25,=(50+20)*2*PI()*h!G16*h!E25/LN(1+h!D16*2/h!H25)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_5__kW
11,h!P26,=(50+20)*2*PI()*h!G16*h!E26/LN(1+h!D16*2/h!H26)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_6__kW
12,h!P27,=(50+20)*2*PI()*h!G16*h!E27/LN(1+h!D16*2/h!H27)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_7__kW
13,h!P28,=(50+20)*2*PI()*h!G16*h!E28/LN(1+h!D16*2/h!H28)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_8__kW
14,h!P29,=(50+20)*2*PI()*h!G16*h!E29/LN(1+h!D16*2/h!H29)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_9__kW
15,h!P30,=(50+20)*2*PI()*h!G16*h!E30/LN(1+h!D16*2/h!H30)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_10__kW
16,h!P31,=(50+20)*2*PI()*h!G16*h!E31/LN(1+h!D16*2/h!H31)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_11__kW
17,u!L23,=u!K23*24*180,Jahreswaermeverluste_Zweigabschnitt_1_bei_Normleistung__kWh_pro_a
18,u!L24,=u!K24*24*180,Jahreswaermeverluste_Zweigabschnitt_2_bei_Normleistung__kWh_pro_a
28,h!Q21,=h!P21*24*180,Waermeverluste_Leitung_1__kWh_pro_a
29,h!Q22,=h!P22*24*180,Waermeverluste_Leitung_2__kWh_pro_a
30,h!Q23,=h!P23*24*180,Waermeverluste_Leitung_3__kWh_pro_a
31,h!Q24,=h!P24*24*180,Waermeverluste_Leitung_4__kWh_pro_a
32,h!Q25,=h!P25*24*180,Waermeverluste_Leitung_5__kWh_pro_a
33,h!Q26,=h!P26*24*180,Waermeverluste_Leitung_6__kWh_pro_a
34,h!Q27,=h!P27*24*180,Waermeverluste_Leitung_7__kWh_pro_a
35,h!Q28,=h!P28*24*180,Waermeverluste_Leitung_8__kWh_pro_a
36,h!Q29,=h!P29*24*180,Waermeverluste_Leitung_9__kWh_pro_a
37,h!Q30,=h!P30*24*180,Waermeverluste_Leitung_10__kWh_pro_a
38,h!Q31,=h!P31*24*180,Waermeverluste_Leitung_11__kWh_pro_a
42,u!L25,=SUM(u!L23:L24),Jahreswaermeverluste_Zweigabschnitt_gesamt_bei_Normleistung__kWh_pro_a
58,h!Q32,=SUM(h!Q21:Q31),Waermeverluste_Leitung___kWh_pro_a
61,t!D109,=t!D52/t!D63*PI()/4*t!D106^2*(t!D61-t!D58)*24*365/1000,Saisonspeicherverluste_nach_oben__kWh_pro_a
63,t!D111,=PI()*((t!D106/2+40)^2-(t!D106/2+t!D62)^2)*t!D57*1000*4.2*((t!D61/2+t!D59)/3-t!D58)/3600,Saisonspeicherverluste_durch_Niederschlag_in_der_Umgebung__kWh_pro_a
64,t!D112,=((t!D105+40)*(t!D106+80)-(t!D105*t!D106))*(t!D53+t!D54)/2*365*t!D55/100*1000*4.2*((t!D61+t!D59)/3-t!D59)/3600,Saisonspeicherverluste_durch_regionalen_Grundwasserfluss_in_Speicherumgebung__kWh_pro_a
65,t!D113,=-t!D56*t!D105/1000/30*((-0.0040125*23^2-0.028625*23+1000.3875)-(-0.0040125*t!D59^2-0.028625*t!D59+1000.3875))*PI()*((t!D106/2+30)^2-(t!D106/2)^2)*1000*t!D55/100 *4.2 *(23-t!D59) *24*365,Saisonspeicherverluste_durch_Grundwasserkonvektion_in_der_Speicherumgebung__kWh_pro_a
66,t!D131,=u!L25*t!D122,Unterverteilung_Jahreswaermeverluste_der_Unterverteilung__kWh_pro_a
67,h!D11,=s!G20,Bevoelkerung_Ludorf__Personen
68,h!D13,=s!G24,Bevoelkerung_Roebel__Personen
69,h!D9,=s!G12,Bevoelkerung_Gross_Kelle__Personen
70,h!D8,=s!G10,Bevoelkerung_Gotthun__Personen
71,h!D12,=s!G22,Bevoelkerung_Minzow__Personen
72,h!D10,=s!G14,Bevoelkerung_Leizen__Personen
73,h!D6,=s!G7,Bevoelkerung_Buetow__Personen
74,h!D7,=s!G8,Bevoelkerung_Dambeck__Personen
75,t!D137,=h!Q32,Hauptverteilung_Jahreswaermeverluste_der_Hauptverteilung__kWh_pro_a
77,h!D5,=s!G2,Bevoelkerung_Bollewick__Personen
78,t!D114,=SUM(t!D109:D113),Gesamtverlust_Saisonspeicher__kWh_pro_a
79,t!D145,=t!D131+t!D137,Verteilung_gesamt_Jahreswaermeverlust_im_Fernwaermenetz__kWh_pro_a
80,h!D21,=h!D11+h!D13,versorgte_Bewohner_Leitung_1_
81,h!D22,=h!D11,versorgte_Bewohner_Leitung_2_
82,h!D23,=h!D13/3,versorgte_Bewohner_Leitung_3_
83,h!D24,=h!D9+h!D8,versorgte_Bewohner_Leitung_4_
84,h!D25,=h!D8,versorgte_Bewohner_Leitung_5_
85,h!D26,=h!D9,versorgte_Bewohner_Leitung_6_
86,h!D27,=h!D12,versorgte_Bewohner_Leitung_7_
87,h!D28,=h!D10,versorgte_Bewohner_Leitung_8_
88,h!D29,=h!D6,versorgte_Bewohner_Leitung_9_
89,h!D30,=h!D6+h!D10+h!D7+h!D12,versorgte_Bewohner_Leitung_10_
90,h!D31,=h!D5,versorgte_Bewohner_Leitung_11_
91,u!G24,=0.216/((u!B8/2)*u!F17/((1.5556*EXP(-0.0318393*u!B9)+0.2374))/10^(-6))^0.2*1/(u!F17)*(u!B8/2)^2*(-0.0040125*u!B9^2-0.028625*u!B9+1000.3875)/2/100000,Druckabfall_pro_m_Zweigabschnitt_2_bei_Normleistung__bar
92,u!G23,=0.216/((u!B8/2)*u!F16/((1.5556*EXP(-0.0318393*u!B9)+0.2374))/10^(-6))^0.2*1/(u!F16)*(u!B8/2)^2*(-0.0040125*u!B9^2-0.028625*u!B9+1000.3875)/2/100000,Druckabfall_pro_m_Zweigabschnitt_1_bei_Normleistung__bar
95,t!D153,=t!D114,Jahreswaermeverlust_durch_Speicherung__kWh_pro_a
96,t!D154,=t!D145,Jahreswaermeverlust_im_Fernwaermenetz__kWh_pro_a
98,h!F21,=h!D21*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_1__kW
99,h!F22,=h!D22*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_2__kW
100,h!F23,=h!D23*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_3__kW
101,h!F24,=h!D24*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_4__kW
102,h!F25,=h!D25*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_5__kW
103,h!F26,=h!D26*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_6__kW
104,h!F27,=h!D27*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_7__kW
105,h!F28,=h!D28*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_8__kW
106,h!F29,=h!D29*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_9__kW
107,h!F30,=h!D30*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_10__kW
108,h!F31,=h!D31*t!D36/2/(1-e!V20/2/100),Normalleistung_Leitung_11__kW
109,u!H24,=u!G24*u!C16*2,Druckabfall_am_Abschnitt_Doppelleitung_Zweigabschnitt_2_bei_Normleistung__bar
110,u!H23,=u!G23*u!C16*2,Druckabfall_am_Abschnitt_Doppelleitung_Zweigabschnitt_1_bei_Normleistung__bar
111,h!I21,=(0.657/h!H21-0.058)*h!D17^1.92/10000*h!E21*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_1__bar
112,h!I22,=(0.657/h!H22-0.058)*h!D17^1.92/10000*h!E22*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_2__bar
113,h!I23,=(0.657/h!H23-0.058)*h!D17^1.92/10000*h!E23*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_3__bar
114,h!I24,=(0.657/h!H24-0.058)*h!D17^1.92/10000*h!E24*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_4__bar
115,h!I25,=(0.657/h!H25-0.058)*h!D17^1.92/10000*h!E25*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_5__bar
116,h!I26,=(0.657/h!H26-0.058)*h!D17^1.92/10000*h!E26*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_6__bar
117,h!I27,=(0.657/h!H27-0.058)*h!D17^1.92/10000*h!E27*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_7__bar
118,h!I28,=(0.657/h!H28-0.058)*h!D17^1.92/10000*h!E28*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_8__bar
119,h!I29,=(0.657/h!H29-0.058)*h!D17^1.92/10000*h!E29*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_9__bar
120,h!I30,=(0.657/h!H30-0.058)*h!D17^1.92/10000*h!E30*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_10__bar
121,h!I31,=(0.657/h!H31-0.058)*h!D17^1.92/10000*h!E31*1.5,Druckverlust_auf_Vorlaufleitung_bei_Normalleistung_Leitung_11__bar
123,u!D16,=u!B4/u!B6/2,Gebaeudeanzahl_bis_Abschnittende_Zweigabschnitt_1_bei_Auslegungsleistung_
125,u!F24,=(u!E17*4/PI()/4.2/(60-30)/1000/u!B8)^0.5,Leitungsinnendurchmesser_Zweigabschnitt_2_bei_Normleistung__m
126,u!F23,=(u!E16*4/PI()/4.2/(60-30)/1000/u!B8)^0.5,Leitungsinnendurchmesser_Zweigabschnitt_1_bei_Normleistung__m
129,t!D155,=SUM(t!D153:D154),Gesamtverluste_durch_Speicherung_und_Verteilung__kWh_pro_a
130,u!G16,=0.216/(u!B8*u!F16/((1.5556*EXP(-0.0318393*u!B9)+0.2374))/10^(-6))^0.2*1/(u!F16)*u!B8^2*(-0.0040125*u!B9^2-0.028625*u!B9+1000.3875)/2/100000,Druckabfall_pro_m_Zweigabschnitt_1_bei_Auslegungsleistung__bar
131,u!E16,=t!D36*u!D16*s!I35*2/(1-e!V20/2/100),Auslegungsleistung_zu_Beginn_des_Abschnittes_Zweigabschnitt_1_bei_Auslegungsleistung__kW
133,u!G17,=0.216/(u!B8*u!F17/((1.5556*EXP(-0.0318393*u!B9)+0.2374))/10^(-6))^0.2*1/(u!F17)*u!B8^2*(-0.0040125*u!B9^2-0.028625*u!B9+1000.3875)/2/100000,Druckabfall_pro_m_Zweigabschnitt_2_bei_Auslegungsleistung__bar
134,u!E17,=t!D36*u!D16*s!I35/(1-e!V20/2/100),Auslegungsleistung_zu_Beginn_des_Abschnittes_Zweigabschnitt_2_bei_Auslegungsleistung__kW
135,t!D118,=t!D31*1000000/t!D117,Verteilung_mittlere_zu_einem_Gebaeude_gehoerige_Siedlungsflaeche__m2
136,h!G21,=h!F21*2,Auslegungsleistung_Leitung_1__kW
137,h!G22,=h!F22*2,Auslegungsleistung_Leitung_2__kW
138,h!G23,=h!F23*2,Auslegungsleistung_Leitung_3__kW
139,h!G24,=h!F24*2,Auslegungsleistung_Leitung_4__kW
140,h!G25,=h!F25*2,Auslegungsleistung_Leitung_5__kW
141,h!G26,=h!F26*2,Auslegungsleistung_Leitung_6__kW
142,h!G27,=h!F27*2,Auslegungsleistung_Leitung_7__kW
143,h!G28,=h!F28*2,Auslegungsleistung_Leitung_8__kW
144,h!G29,=h!F29*2,Auslegungsleistung_Leitung_9__kW
145,h!G30,=h!F30*2,Auslegungsleistung_Leitung_10__kW
146,h!G31,=h!F31*2,Auslegungsleistung_Leitung_11__kW
147,u!I24,=u!H24*10^5*PI()/4*u!F24^2*u!B8/1000/0.75,Leistungsaufnahme_der_Pumpen__Vor__und_Ruecklauf_Zweigabschnitt_2_bei_Normleistung__kW
148,u!I23,=u!H23*10^5*PI()/4*u!F23^2*u!B8/1000/0.75,Leistungsaufnahme_der_Pumpen__Vor__und_Ruecklauf_Zweigabschnitt_1_bei_Normleistung__kW
149,h!K21,=h!I21*10^5*PI()/4*h!H21^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_1__kW
150,h!K22,=h!I22*10^5*PI()/4*h!H22^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_2__kW
151,h!K23,=h!I23*10^5*PI()/4*h!H23^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_3__kW
152,h!K24,=h!I24*10^5*PI()/4*h!H24^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_4__kW
153,h!K25,=h!I25*10^5*PI()/4*h!H25^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_5__kW
154,h!K26,=h!I26*10^5*PI()/4*h!H26^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_6__kW
155,h!K27,=h!I27*10^5*PI()/4*h!H27^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_7__kW
156,h!K28,=h!I28*10^5*PI()/4*h!H28^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_8__kW
157,h!K29,=h!I29*10^5*PI()/4*h!H29^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_9__kW
158,h!K30,=h!I30*10^5*PI()/4*h!H30^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_10__kW
159,h!K31,=h!I31*10^5*PI()/4*h!H31^2*h!D17/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung_11__kW
160,e!V27,=e!V33/365,Jahresmittelwert_der_taeglichen_Globalstrahlung__kWh_pro_m2_pro_d
161,u!C16,=u!B4/2,endet_bei_Meter_Zweigabschnitt_1_bei_Auslegungsleistung_
162,e!V28,=(e!V13-e!V12)/2/30.44,Variation_der_taeglichen_Globalstrahlung_um_dieses_Mittel_im_Jahreslauf__Â±__kWh_pro_m2_pro_d
163,e!V29,=(e!V14*e!V16/100+e!V15*(1-e!V16/100))/1244*e!V17,Gesamt_Wirkungsgrad_der_Kollektoren__Prozent
165,t!D99,=t!D98*(1-t!D35/100),Vom_Jahreswaermebedarf_JWBwnhwsv_muessen_gespeichert_werden__kWh_pro_a
166,t!D28,=e!V25,Waermespeicherzahl_fuer_Erdboden__kWh_pro_m3_pro_K
168,t!D159,=t!D155/t!D98*100,Gesamtverluste_durch_Speicherung_und_Verteilung_bezueglich_bereitgestellter_Energie__Prozent
170,u!H16,=u!G16*u!C16*2,Druckabfall_am_Abschnitt__Doppelleitung_Zweigabschnitt_1_bei_Auslegungsleistung__bar
171,u!F16,=(u!E16*4/PI()/4.2/(60-30)/1000/u!B8)^0.5,Leitungsinnendurchmesser_Zweigabschnitt_1_bei_Auslegungsleistung__m
172,u!B8,=2*u!B7,Geschwindigkeit_des_Waermetraegers_bei_Auslegungsleistung_in_UV__m_pro_s
173,u!H17,=u!G17*u!C16*2,Druckabfall_am_Abschnitt__Doppelleitung_Zweigabschnitt_2_bei_Auslegungsleistung__bar
174,u!F17,=(u!E17*4/PI()/4.2/(60-30)/1000/u!B8)^0.5,Leitungsinnendurchmesser_Zweigabschnitt_2_bei_Auslegungsleistung__m
175,t!D119,=t!D118^0.5,Verteilung_mittlere_Seitenlaenge_des_einem_Gebaeude_zugeordneten_Flaechenstueckes__m
176,h!J21,=(0.657/h!H21-0.058)*(2*h!D17)^1.92/10000*h!E21*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_1__bar
177,h!H21,=(h!G21/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_1__m
179,h!J22,=(0.657/h!H22-0.058)*(2*h!D17)^1.92/10000*h!E22*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_2__bar
180,h!H22,=(h!G22/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_2__m
181,h!J23,=(0.657/h!H23-0.058)*(2*h!D17)^1.92/10000*h!E23*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_3__bar
182,h!H23,=(h!G23/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_3__m
183,h!J24,=(0.657/h!H24-0.058)*(2*h!D17)^1.92/10000*h!E24*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_4__bar
184,h!H24,=(h!G24/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_4__m
