,sheetcell,sheetformula,var_name
185,h!J25,=(0.657/h!H25-0.058)*(2*h!D17)^1.92/10000*h!E25*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_5__bar
186,h!H25,=(h!G25/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_5__m
187,h!J26,=(0.657/h!H26-0.058)*(2*h!D17)^1.92/10000*h!E26*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_6__bar
188,h!H26,=(h!G26/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_6__m
189,h!J27,=(0.657/h!H27-0.058)*(2*h!D17)^1.92/10000*h!E27*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_7__bar
190,h!H27,=(h!G27/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_7__m
191,h!J28,=(0.657/h!H28-0.058)*(2*h!D17)^1.92/10000*h!E28*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_8__bar
192,h!H28,=(h!G28/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_8__m
193,h!J29,=(0.657/h!H29-0.058)*(2*h!D17)^1.92/10000*h!E29*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_9__bar
194,h!H29,=(h!G29/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_9__m
195,h!J30,=(0.657/h!H30-0.058)*(2*h!D17)^1.92/10000*h!E30*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_10__bar
196,h!H30,=(h!G30/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_10__m
197,h!J31,=(0.657/h!H31-0.058)*(2*h!D17)^1.92/10000*h!E31*1.5,Druckverlust_auf_Vorlaufleitung_bei_Auslegungsleistung_Leitung_11__bar
198,h!H31,=(h!G31/4200/(2*h!D17)/(60-30)*4/PI())^0.5,Leitungsdurchmesser_innen_Leitung_11__m
199,t!D7,=e!V4,Bevoelkerung__Personen
201,u!I25,=SUM(u!I23:I24),Leistungsaufnahme_der_Pumpen__Vor__und_Ruecklauf_Zweigabschnitt_gesamt_bei_Normleistung__kW
202,h!K32,=SUM(h!K21:K31),Leistungsaufnahme_der_Pumpen_bei_Normalleistung__Vor__und_Ruecklauf_Leitung___kW
203,e!E4,=(e!V27+e!V28*SIN(2*PI()/365*e!A4))*e!V29/100*e!V9*e!V10/100,beim_Verbraucher_verfuegbare_EE_aus_inneroertlichen_Kollektoren__kWh_pro_d_pro_Kopf
204,e!F4,=(e!V27+e!V28*SIN(2*PI()/365*e!A4))*e!V29/100*e!V11*(1-e!V18/100)*(1-e!V20/100),beim_Verbraucher_verfuegbare_EE_aus_externen_Kollektoren__kWh_pro_d_pro_Kopf
205,e!V30,=e!V8*e!V5/365,Endenergie_Tagesverbrauch_fuer_Waerme_pro_Person__Jahresdurchschnitt__kWh_pro_d_pro_Kopf
209,t!D103,=t!D99/t!D28/t!D60,SpeicherVolumen__m3
210,t!D64,=t!D36*t!E3/(1-t!D159/100)/4.2/(55-28)/1000*3600/t!D66,Saisonspeicher_Anzahl_der_Bohrungen__zweimal__Stueck
211,u!I16,=u!H16*10^5*PI()/4*u!F16^2*u!B8/1000/0.75,Leistungsaufnahme_der_Pumpen__Vor__und_Ruecklauf_Zweigabschnitt_1_bei_Auslegungsleistung__kW
212,u!I17,=u!H17*10^5*PI()/4*u!F17^2*u!B8/1000/0.75,Leistungsaufnahme_der_Pumpen__Vor__und_Ruecklauf_Zweigabschnitt_2_bei_Auslegungsleistung__kW
213,t!D121,=t!D120/t!D119,Verteilung_mittlere_Anzahl_der_Grundstuecke_an_einem_Unterverteilungszweig__Grundst_pro_Zw
214,h!L21,=h!J21*10^5*PI()/4*h!H21^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_1__kW
215,h!L22,=h!J22*10^5*PI()/4*h!H22^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_2__kW
216,h!L23,=h!J23*10^5*PI()/4*h!H23^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_3__kW
217,h!L24,=h!J24*10^5*PI()/4*h!H24^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_4__kW
218,h!L25,=h!J25*10^5*PI()/4*h!H25^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_5__kW
219,h!L26,=h!J26*10^5*PI()/4*h!H26^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_6__kW
220,h!L27,=h!J27*10^5*PI()/4*h!H27^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_7__kW
221,h!L28,=h!J28*10^5*PI()/4*h!H28^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_8__kW
222,h!L29,=h!J29*10^5*PI()/4*h!H29^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_9__kW
223,h!L30,=h!J30*10^5*PI()/4*h!H30^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_10__kW
224,h!L31,=h!J31*10^5*PI()/4*h!H31^2*(2*h!D17)/1000*2/0.75,Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung_11__kW
229,t!D90,=t!D89/t!D7,Kollektorflaeche_brutto_pro_Kopf__m2_pro_Kopf
230,t!D91,=t!D12*t!D13/100,Kollektorflaeche_brutto__inneroertlich_moeglich__m2_pro_Kopf
243,t!D129,=u!I25*t!D122,Unterverteilung_mittlere_Leistungsaufnahme_aller_Pumpen_der_Unterverteilung__kW
244,t!D135,=h!K32,Hauptverteilung_mittlere_Leistungsaufnahme_aller_Pumpen_der_Hauptverteilung__kW
247,e!D4,"=IF((e!E4+e!F4)>e!C4,e!C4,e!E4+e!F4)",Endenergie_Direktbezug_aus_Kollektoren__am_Saisonspeicher_vorbei__kWh_pro_d_pro_Kopf
248,e!C4,=e!V30-e!V30*SIN(2*PI()/365*e!A4),Endenergie__EE__Verbrauch_fuer_Heizung_u_Warmwasser__kWh_pro_d_pro_Kopf
251,e!V33,=(e!V12/31+e!V13/30)/2*365,Globalstrahlung_in_einem_Jahr__langjaehriges_Mittel__Berlin___kWh_pro_a_pro_m2
252,t!D106,=(t!D103/t!D105*4/PI())^0.5,als_SpeicherDurchmesser_ergibt_sich_nach_der_Vorgabe_der_Tiefe_in_D105___m
257,t!D65,=t!D64*(t!D105*1.2),Saisonspeicher_Laenge_aller_Bohrungen__m
263,t!D115,=((t!D40*(t!D17*t!D19/100+t!D18*(1-t!D19/100))/t!D39*t!D92*t!E3-t!D34/365*t!E3)*18/24*3600/4.2/55/1000),Groesse_der_Pufferspeicher_je__m3
265,u!I18,=SUM(u!I16:I17),Leistungsaufnahme_der_Pumpen__Vor__und_Ruecklauf_Zweigabschnitt_gesamt_bei_Auslegungsleistung__kW
266,t!D122,=t!D117/t!D121,Verteilung_Anzahl_der_Unterverteilungszweige__Zweige
267,h!L32,=SUM(h!L21:L31),Leistungsaufnahme_der_Pumpen_bei_Auslegungsleistung__Vor__und_Ruecklauf_Leitung___kW
270,t!D12,=e!V9,inneroertliche_Dach__und_Fassadenflaechen_fuer_Kollektoren_pro_Kopf__m2_pro_Kopf
271,t!D13,=e!V10,dazu_die_moegliche_Ausnutzung_dieser_inneroertlichen_Flaechen_fuer_Kollektoren__Prozent
272,t!D17,=e!V14,Jahresertrag_der_Roehrenkollektoren__Wuerzburg_bei_T_gleich_75_Grad_C__Ritter_CPC_XL_1921__kWh_pro_a_pro_m2
274,t!D20,=e!V17,Effizienznachlass_der_Kollektoren_im_langjaehrigen_Praxisbetrieb_auf__Prozent
275,t!D92,=t!D90-t!D91,Kollektorflaeche_brutto__extern_noetig__m2_pro_Kopf
277,t!D120,=s!O34,Verteilung_mittlere_Laenge_eines_Unterverteilungszweiges__m
279,h!E32,=SUM(h!E21:E31),Trassenlaenge_Leitung___m
280,t!D139,=t!D129+t!D135,Verteilung_gesamt_mittlere_Leistungsaufnahme_aller_Pumpen_der_gesamten_Verteilung__kW
282,t!D101,=(t!D100-t!D98)/(180*24)/1000*2,thermische_Auslegungsleistung_Blockheizkraftwerk__MW_thermisch
284,e!V8,=e!V6/(1-e!V7/100),komplett_mit_Waerme_versorgte_Geschossflaeche_pro_Kopf__Wohnung_u_Gewerbe___m2
285,e!D736,=SUM(e!D4:D734)/2,Endenergie_Direktbezug_aus_Kollektoren__am_Saisonspeicher_vorbei__Jahressumme__kWh_pro_d_pro_Kopf
286,e!C736,=SUM(e!C4:C734)/2,Endenergie__EE__Verbrauch_fuer_Heizung_u_Warmwasser__Jahressumme__kWh_pro_d_pro_Kopf
287,t!D18,=e!V15,Jahresertrag_Flachkollektoren__Wuerzburg_bei_T_gleich_50_Grad_C__SUNEX_SA_AMP_2__kWh_pro_a_pro_m2
288,t!D21,=e!V18,Transport__und_Verschattungsverluste_im_ausserstaedtischen_Kollektorfeld___Prozent
289,t!D29,=e!V33,Globalstrahlung_in_einem_Jahr__langjaehriges_Mittel__Berlin___kWh_pro_a_pro_m2
290,t!D166,=PI()/4*(t!D106+t!D62*2)^2*(t!D68+t!D67*t!D63),Investition_Saisonspeicher__Abdeckung___Euro_
291,t!D167,=t!D65*t!D70*(1-t!D71/100),Investition_Saisonspeicher__Bohrungen___Euro_
292,t!D168,=PI()*t!D106*t!D105*t!D69,Investition_Saisonspeicher__Schlitzwand___Euro_
293,t!D169,=t!D72*t!D115*2,Investition_Saisonspeicher__zwei_Pufferspeicher___Euro_
294,t!D170,=t!D73,Investition_Technikgebaeude_am_Speicherrand__geschaetzt___Euro_
295,t!D130,=u!I18*t!D122,Unterverteilung_Auslegungsleistung_aller_Pumpen_der_Unterverteilung__kW
297,t!D136,=h!L32,Hauptverteilung_Auslegungsleistung_aller_Pumpen_der_Hauptverteilung__kW
300,t!D19,=e!V16,Anteil_an_Roehrenkollektoren__Prozent
303,t!D48,=t!D40*t!D12*t!D13/100*t!D17/t!D39*t!D20/100*3600/4.2/40*18/24,Kollektoren_noetiger_Pufferspeicher_im_Haus_pro_Person__l_pro_Kopf
306,t!D93,=t!D92*t!E3*t!D44/1000000,externe_Kollektorfeldflaeche__brutto_u__Aufstellungsumgebung___km2
308,t!D127,=t!D120*t!D122/1000,Unterverteilung_Gesamtlaenge_aller_Unterverteilungszweige__jeweils_3_Leitungen___km
310,t!D117,=s!I32,Verteilung_Anzahl_der_Wohngebaeude_im_Plangebiet_dieser_Tabelle__Gebaeude
312,t!D133,=h!E32/1000,Hauptverteilung_Gesamtlaenge_aller_Hauptverteilungstrassen__jeweils_3_Leitungen___km
318,t!D143,=t!D139*24*180,Verteilung_gesamt_Jahresenergieverbrauch_der_Verteilerpumpen__kWh_pro_a
319,t!D36,=(t!D32-t!D34*6/12)/180/24*2,Auslegungsleistung__Maximal_noetige_Heizleistung_saniert___kW_pro_Kopf
320,t!D83,=t!D101,erforderliche_Zusatzleistung_Blockheizkraftwerk__BHKW__thermisch__MW_thermisch
322,t!D8,=e!V5,benoetigte_Endenergie_fuer_Heizung_u_Warmwasser_WW___sanierte_Gebaeude__kWh_pro_a_pro_m2
323,t!D11,=e!V8,komplett_mit_Waerme_versorgte_Geschossflaeche_pro_Kopf__Wohnung_u_Gewerbe___m2
324,e!D737,=e!D736/e!C736*100,Anteil_Endenergie_Direktbezug_aus_Kollektoren__am_Saisonspeicher_vorbei__Prozent
326,t!D89,=t!D98/((t!D17*t!D19/100+t!D18*(1-t!D19/100))*(t!D20/100)*(1-t!D21/100)*(t!D29/t!D39)),Kollektorflaeche_brutto__optimal_orientiert__ohne_Aufstellungsumgebung__m2
328,t!D171,=SUM(t!D166:D170),Investition_Saisonspeicher__gesamt___Euro_
329,t!D172,=t!D130*t!D80,Investition_Umwaelzpumpen_Unterverteilung___Euro_
330,t!D173,=t!D136*t!D80,Investition_Umwaelzpumpen_Hauptverteilung___Euro_
331,t!D174,=t!D89*(t!D41*t!D19/100+t!D42*(1-t!D19/100))*(1-t!D46/100),Investition_Kollektoren___Euro_
332,t!D175,=t!D89*t!D45*(1-t!D46/100),Investition_Aufstellung__Installation_der_Kollektoren___Euro_
333,t!D176,=t!D48*t!D49*t!E3,Investition_Waermespeicher_in_den_Gebaeuden___Euro_
334,t!D177,=t!D47*t!D93*1000000,Investition_Bodenpreis_fuer_externes_Kollektorfeld___Euro_
335,t!D178,=(t!D76*t!D127*1000)+t!D77*t!D117,Investition_Fernwaermeleitungen_fuer_Unterverteilung_und_Hausanschluesse___Euro_
336,t!D179,=t!D75*t!D133*1000,Investition_Fernwaermeleitungen_fuer_Hauptverteilung___Euro_
338,t!F172,=t!F80,Abschreibungsjahre_fuer_Umwaelzpumpen_Unterverteilung_
339,t!F173,=t!F80,Abschreibungsjahre_fuer_Umwaelzpumpen_Hauptverteilung_
340,t!F174,=t!F41,Abschreibungsjahre_fuer_Kollektoren_
341,t!F175,=t!F45,Abschreibungsjahre_fuer_Aufstellung__Installation_der_Kollektoren_
342,t!F176,=t!F49,Abschreibungsjahre_fuer_Waermespeicher_in_den_Gebaeuden_
344,t!F178,=t!F77,Abschreibungsjahre_fuer_Fernwaermeleitungen_fuer_Unterverteilung_und_Hausanschluesse_
345,t!F179,=t!F75,Abschreibungsjahre_fuer_Fernwaermeleitungen_fuer_Hauptverteilung_
346,t!D149,=t!D143*1.3,Verteilung_gesamt_Jahresverbrauch_der_Pumpen_fuer_Fernheizverteilung_und_Kollektorfeld__kWh_pro_a
348,t!D87,=t!D36*t!E3,Leistung_Waermetauscher_am_Saisonspeicher__kW
351,t!D85,=t!D83/(100-t!D84)*t!D84,BHKW_elektrische_Leistung__MW_elektrisch
354,t!D23,=e!V20,Transportverluste_Fernheizung__Prozent
355,t!D32,=t!D8*t!D11,Endenergie_fuer_Heizung_u_WW__Wohn_uNichtwohngebaeude__nach_moderater_Sanierung__kWh_pro_a_pro_Kopf
356,t!D35,=e!D737,moeglicher_Anteil_an_direkter_Waermeversorgung__am_Speicher_vorbei__Prozent
357,t!D27,=e!V24,mittlere_Speicherverluste_pro_Jahr__Prozent
358,t!D189,=t!D171/t!F171/t!E3,Investitionskosten_Saisonspeicher__gesamt___Euro__pro_a_pro_Kopf
359,t!D190,=t!D172/t!F172/t!E3,Investitionskosten_Umwaelzpumpen_Unterverteilung___Euro__pro_a_pro_Kopf
360,t!D191,=t!D173/t!F173/t!E3,Investitionskosten_Umwaelzpumpen_Hauptverteilung___Euro__pro_a_pro_Kopf
361,t!D192,=t!D174/t!F174/t!E3,Investitionskosten_Kollektoren___Euro__pro_a_pro_Kopf
362,t!D193,=t!D175/t!F175/t!E3,Investitionskosten_Aufstellung__Installation_der_Kollektoren___Euro__pro_a_pro_Kopf
363,t!D194,=t!D176/t!F176/t!E3,Investitionskosten_Waermespeicher_in_den_Gebaeuden___Euro__pro_a_pro_Kopf
364,t!D195,=t!D177/t!F177/t!E3,Investitionskosten_Bodenpreis_fuer_externes_Kollektorfeld___Euro__pro_a_pro_Kopf
365,t!D196,=t!D178/t!F178/t!E3,Investitionskosten_Fernwaermeleitungen_fuer_Unterverteilung_und_Hausanschluesse___Euro__pro_a_pro_Kopf
366,t!D197,=t!D179/t!F179/t!E3,Investitionskosten_Fernwaermeleitungen_fuer_Hauptverteilung___Euro__pro_a_pro_Kopf
367,t!D183,=t!D149*t!D162,laufende_Kosten_E_Antrieb_der_Pumpen__Stromkosten___Euro__pro_a
368,t!D186,=t!D87*t!D78,laufende_Kosten_Waermetauscher_wechseln___Euro__pro_a
369,t!D187,=t!D164/1.97*t!E3,laufende_Kosten_Betrieb__Wartung___Euro__pro_a
370,t!D86,=t!D85*1000*t!D81/1000000,Kosten_fuer_Blockheizkraftwerke_zur_Temperaturanhebung_in_der_dritten_Leitung__Millionen__Euro_
373,t!D100,=t!D33*t!E3/(1-t!D23/100),Waermebedarf_bis100_Grad_2017__Haushalte_Gewerbe_Industrie__u_Verlustausgleich__kWh_pro_a
374,t!D98,=t!E3*t!D32/(1-t!D23/100)*((1-t!D35/100)/(1-t!D27/100)+t!D35/100),Jahreswaermebedarf__Wohn_u_Nichtwohn_Heizg_u_WW___saniert__u_Verlustausgleich_JWBwnhwsv__kWh_pro_a
378,t!D199,=SUM(t!D189:D198),Investition_fuer_die_gesamte_Anlage___Euro__pro_a_pro_Kopf
380,t!D202,=t!D183/t!E3,laufende_Kosten_E_Antrieb_der_Pumpen__Stromkosten___Euro__pro_a_pro_Kopf
381,t!D205,=t!D186/t!E3,laufende_Kosten_Waermetauscher___Euro__pro_a_pro_Kopf
382,t!D206,=t!D187/t!E3,laufende_Kosten_Betrieb__Wartung___Euro__pro_a_pro_Kopf
383,t!D180,=t!D86*1000000,Investition_BHKW__ohne_Energiekosten____Euro_
384,t!F180,=t!F81,Abschreibungsjahre_fuer_BHKW__ohne_Energiekosten__
385,t!E3,=e!V4,Bevoelkerung__Personen
386,t!D184,=(t!D100-t!D98)*(100/(100-t!D84))*t!D161,laufende_Kosten_Energiekosten_BHKW___Euro__pro_a
387,t!D185,=-(t!D100-t!D98)*(t!D84/(100-t!D84))*t!D163,laufende_Kosten_Ertrag_BHKW__Elektroenergie___Euro__pro_a
388,t!D200,=t!D199/(1-t!D37/100),Investition_fuer_die_gesamte_Anlage_mit_Nebenkosten___Euro__pro_a_pro_Kopf
389,t!D207,=SUM(t!D202:D206),laufende_Kosten___Euro__pro_a_pro_Kopf
390,t!D198,=t!D180/t!F180/t!E3,Investitionskosten_BHKW__ohne_Energiekosten____Euro__pro_a_pro_Kopf
391,t!D203,=t!D184/t!E3,laufende_Kosten_Energiekosten_BHKW___Euro__pro_a_pro_Kopf
392,t!D204,=t!D185/t!E3,laufende_Kosten_Ertrag_BHKW__Elektroenergie___Euro__pro_a_pro_Kopf
